cohort,image,nucleus_count,mean_area_px,median_area_px,std_area_px,mean_eccentricity,mean_solidity,density_per_megapixel,method
BRC,Image1.png,517,76.89941972920697,75.0,31.861364640003217,0.6350536937185229,0.9408243956504484,1856.0735249241595,classical
BRC,Image10.png,245,51.56734693877551,50.0,16.046887774487,0.6918824215928323,0.9420801750919232,879.5706259311781,classical
BRC,Image2.png,128,45.703125,42.5,10.92828853180474,0.6997065428106034,0.9271338415297988,459.5307759966971,classical
BRC,Image3.png,59,43.69491525423729,41.0,11.976324437268577,0.7127341918904905,0.9290328595981004,211.8149670609776,classical
BRC,Image4.png,462,59.904761904761905,59.0,18.311270245859617,0.6753916536526516,0.9364588838564148,1658.6188946130787,classical
BRC,Image5.png,70,80.7,75.5,34.18326658301857,0.7348436423262757,0.939913209514636,251.30589312319375,classical
BRC,Image6.png,88,54.92045454545455,52.0,18.222876226743313,0.7139795115945767,0.9324332423782484,315.9274084977293,classical
BRC,Image7.png,198,69.5050505050505,59.0,40.7462891010028,0.7374842408930964,0.8916459491090166,710.8366691198909,classical
BRC,Image8.png,66,67.34848484848484,51.0,40.322372323879065,0.6959769734198386,0.9352563121878636,236.94555637329697,classical
BRC,Image9.png,182,46.395604395604394,45.0,10.72368142551916,0.6616870685364499,0.9455937694524752,653.3953221203037,classical
CRC,Image1.png,322,102.03726708074534,90.0,59.49903576636705,0.7105478999104655,0.9377429742051072,1156.0071083666912,classical
CRC,Image10.png,431,111.53364269141532,78.0,110.38938949756428,0.7335508699575989,0.9090649777937728,1547.3262848013787,classical
CRC,Image2.png,172,59.72674418604651,52.5,24.55560336952721,0.7186896472277979,0.9365135852664872,617.4944802455618,classical
CRC,Image3.png,220,66.87272727272727,62.0,25.83781903648184,0.705131979412899,0.9423992412972232,789.8185212443232,classical
CRC,Image4.png,487,107.56878850102667,76.0,101.4277890792537,0.6955159715347888,0.9319011021941316,1748.3709992999336,classical
CRC,Image5.png,663,52.45399698340875,49.0,18.419297167830635,0.6951883966984487,0.9324474330296174,2380.225816295392,classical
CRC,Image6.png,447,80.37807606263982,69.0,51.25867864850434,0.7270358727219352,0.9248728426740565,1604.7676318009658,classical
CRC,Image7.png,473,59.95560253699789,57.0,22.224496876721833,0.6989658132819898,0.9426159087600334,1698.109820675295,classical
CRC,Image8.png,125,57.0,51.0,21.171301329866335,0.7064888476432692,0.9428659924555578,448.76052343427455,classical
CRC,Image9.png,331,67.0785498489426,64.0,26.1666722428673,0.6876057675981812,0.9389177871340566,1188.317866053959,classical
HCC,Image1.png,396,250.6919191919192,127.0,424.0026277259835,0.7242722471932317,0.8605930019725345,1421.6733382397815,classical
HCC,Image10.png,280,79.96785714285714,76.0,35.15713251726788,0.7645837667418179,0.9271534823872308,1005.223572492775,classical
HCC,Image2.png,192,112.31770833333331,74.5,102.95082816446046,0.7157732799069495,0.9089744915286118,689.2961639950457,classical
HCC,Image3.png,472,88.65466101694915,69.5,69.71589910805434,0.7631629165456677,0.8791350377044519,1694.5197364878206,classical
