cohort,image,nucleus_count,mean_area_px,median_area_px,std_area_px,mean_eccentricity,mean_solidity,density_per_megapixel
BRC,Image1.png,495,128.86464646464646,86.0,108.9378279859166,0.5772628251714308,0.9522961823792189,1777.0916727997273
BRC,Image10.png,608,96.01973684210526,91.0,31.61850524004825,0.6255191533030754,0.9453751595662933,2182.7711859843116
BRC,Image2.png,809,87.24351050679851,82.0,24.52614024949502,0.5533353557200636,0.9499525347899935,2904.378107666625
BRC,Image3.png,1079,83.57089898053754,80.0,20.59369794430582,0.5460502848208519,0.9481087739506113,3873.700838284658
BRC,Image4.png,783,96.70242656449552,89.0,28.65476152573005,0.5901135472803903,0.9471387149995052,2811.035918792296
BRC,Image5.png,56,222.41071428571428,186.5,131.60001313310215,0.7120568945216379,0.9454867232881731,201.044714498555
BRC,Image6.png,401,142.48877805486285,134.0,58.7770248662078,0.6854528746648767,0.947245456685774,1439.6237591771528
BRC,Image7.png,233,250.96995708154506,234.0,112.40574095467264,0.7059192589826951,0.9508569669110242,836.4896156814877
BRC,Image8.png,164,211.8231707317073,179.5,118.37981123071464,0.6867912538599871,0.9498255034777363,588.7738067457682
BRC,Image9.png,681,82.23935389133626,75.0,25.51553571594812,0.5598480449313376,0.9491376175655455,2444.847331669928
CRC,Image1.png,286,114.12937062937063,98.0,52.550149650359906,0.6680532557315432,0.9445261096776112,1026.7640776176202
CRC,Image10.png,361,145.85595567867037,116.0,96.80743815564186,0.6851108139556991,0.9430586664332845,1296.020391678185
CRC,Image2.png,383,152.36292428198433,132.0,86.87045896653781,0.6860265583964082,0.9470930180173268,1375.0022438026172
CRC,Image3.png,335,101.96417910447761,87.0,46.13153064714544,0.6711019026016908,0.9456300127199121,1202.6782028038558
CRC,Image4.png,486,109.07407407407408,95.0,52.33823467913153,0.633070972802871,0.9464507254062284,1744.7809151124595
CRC,Image5.png,1173,84.04092071611254,81.0,19.03660125620054,0.5798975212515205,0.9491556177696766,4211.168751907232
CRC,Image6.png,311,118.7652733118971,100.0,62.46243539806767,0.6732144549567219,0.948166099280622,1116.516182304475
CRC,Image7.png,596,92.25167785234899,77.0,58.70890320877028,0.5864433223396078,0.946817732995464,2139.690175734621
CRC,Image8.png,240,135.5,107.5,84.18610336629199,0.6864566231056914,0.9461340209439102,861.6202049938072
CRC,Image9.png,430,96.50232558139535,87.0,42.90003246256751,0.6111891170743619,0.9480911257249881,1543.7362006139044
HCC,Image1.png,112,202.875,201.0,77.38968242878744,0.6975491130210398,0.951063451270709,402.08942899711
HCC,Image10.png,223,124.96860986547085,116.0,48.159338498515645,0.7792066988768456,0.9373520098929863,800.5887738067458
HCC,Image2.png,275,94.15636363636364,81.0,47.336946030602064,0.6211592091898328,0.9491315462220581,987.2731515554041
HCC,Image3.png,297,119.3973063973064,110.0,49.60127611333305,0.7915676005460323,0.9370355129082631,1066.2550036798364
HCC,Image4.png,268,162.92537313432837,142.0,90.20595231921226,0.7132792201565121,0.9476815333495485,962.1425622430846
HCC,Image5.png,320,125.10625,115.0,51.87516227384258,0.7061580350811469,0.9461695600352812,1148.8269399917428
HCC,Image6.png,323,159.06811145510835,144.0,65.03884292008786,0.6533599653425077,0.950356377245894,1159.5971925541655
HCC,Image7.png,128,143.1328125,124.5,87.09247699049467,0.6867516902926937,0.9444941276430447,459.5307759966971
HCC,Image8.png,406,133.24384236453201,123.5,52.95543389799487,0.6430806548200554,0.9512439988379743,1457.5741801145236
HCC,Image9.png,423,136.54609929078015,132.0,42.46469402835235,0.6269976203553986,0.9499221779366748,1518.605611301585
