cohort,image,nucleus_count,mean_area_px,median_area_px,std_area_px,mean_eccentricity,mean_solidity,density_per_megapixel
BRC,Image1.png,588,103.89795918367346,65.0,98.37639329503716,0.6298643759516379,0.9473930848183065,2110.9695022348274
BRC,Image10.png,666,68.97747747747748,64.5,28.704214414758184,0.7058105468075084,0.9342868242690954,2390.996068857815
BRC,Image2.png,886,65.78555304740406,62.0,27.070330086083796,0.6180659393333223,0.9479381855282641,3180.814590102138
BRC,Image3.png,1191,59.1024349286314,58.0,19.598735007300952,0.5909858570306179,0.9486648541497253,4275.790267281768
BRC,Image4.png,852,73.26173708920187,64.0,34.27633206318211,0.6328410407376981,0.9441464963353664,3058.7517277280153
BRC,Image5.png,65,202.1846153846154,98.0,344.741191321958,0.6919801711872867,0.9424920276309529,233.35547218582278
BRC,Image6.png,442,124.43212669683258,114.0,65.04788462100214,0.715975802500479,0.9389424038259454,1586.817210863595
BRC,Image7.png,205,224.18048780487806,212.0,115.6472838134151,0.737262532404457,0.9427656311680057,735.9672584322103
BRC,Image8.png,152,171.57894736842104,160.0,91.90638302641024,0.715203169335973,0.9370441311401837,545.6927964960779
BRC,Image9.png,743,60.39434724091521,57.0,25.35363495029889,0.5985644429006435,0.9478012247938339,2667.432551293328
CRC,Image1.png,294,91.33673469387755,73.0,57.229983081313556,0.7232054896001286,0.9426497905349459,1055.4847511174137
CRC,Image10.png,446,116.70627802690584,105.0,61.59076794465537,0.755465735004819,0.9363451222440491,1601.1775476134917
CRC,Image2.png,404,144.9950495049505,117.5,89.47434487792678,0.7386054983125304,0.9415421207248086,1450.3940117395753
CRC,Image3.png,359,82.87186629526462,69.0,48.190548717081775,0.7341213973381554,0.9375521964325868,1288.8402233032366
CRC,Image4.png,572,90.97552447552448,76.0,54.943512908612895,0.7142170276451523,0.9381210806683925,2053.5281552352403
CRC,Image5.png,1470,55.923809523809524,56.0,17.345615742530686,0.6322470504071284,0.9458485208901796,5277.423755587069
CRC,Image6.png,346,121.08670520231213,92.0,86.89564864758299,0.7587481411902026,0.9397684982302018,1242.169128866072
CRC,Image7.png,813,59.845018450184504,54.0,37.64455487961746,0.6912220173478872,0.9425244513053714,2918.738444416522
CRC,Image8.png,276,109.03260869565217,99.0,60.67783500843326,0.767115962097094,0.9325202530530828,990.8632357428783
CRC,Image9.png,519,79.34296724470134,68.0,46.55410906637829,0.6877348509699523,0.9397169901214679,1863.253693299108
HCC,Image1.png,106,163.31132075471697,158.0,73.2267560142385,0.7269883677384583,0.9408240607531303,380.5489238722648
HCC,Image10.png,310,88.78064516129032,77.0,46.63513433477464,0.8097460139775358,0.9318605206112198,1112.926098117001
HCC,Image2.png,398,68.35175879396985,49.0,58.03344975853575,0.7103710293507952,0.9366388632277451,1428.8535066147301
HCC,Image3.png,458,93.89301310043668,88.0,51.978450305500644,0.8565018208851627,0.9138125042861288,1644.258557863182
HCC,Image4.png,311,152.95176848874598,124.0,105.9933304418661,0.7752210663961351,0.933846196619371,1116.516182304475
HCC,Image5.png,409,112.56479217603912,101.0,70.75748956888792,0.7813543687986307,0.9301625779691014,1468.3444326769463
HCC,Image6.png,283,132.73498233215548,117.0,65.75850248468221,0.6718628250363874,0.9462691627419606,1015.9938250551976
HCC,Image7.png,145,105.77241379310345,89.0,63.87225881317914,0.7332481116009604,0.9339236831851424,520.5622071837585
HCC,Image8.png,451,105.29933481152993,98.0,55.29338380168509,0.6848119782711486,0.942050321573834,1619.1279685508625
HCC,Image9.png,407,104.1965601965602,102.0,40.909208372823514,0.6299916880691863,0.9468977116832414,1461.164264301998
NSCLC_AD,Image1.png,254,82.35433070866142,72.5,48.036408035915784,0.7742278389965254,0.9300279572206027,911.8813836184459
NSCLC_AD,Image10.png,254,165.15748031496062,166.0,69.39966702101361,0.6731675463441226,0.9463764535731671,911.8813836184459
NSCLC_AD,Image2.png,642,71.77725856697819,65.0,39.73018713058857,0.7010825447705544,0.9389579178420864,2304.8340483584343
NSCLC_AD,Image3.png,305,195.33770491803278,162.0,130.08020497324003,0.7368747884814625,0.9435493686139949,1094.9756771796299
NSCLC_AD,Image4.png,292,143.1917808219178,113.0,109.11121729989217,0.7518778847535864,0.9354932477176,1048.3045827424653
NSCLC_AD,Image5.png,612,98.09150326797386,70.0,83.86721994558015,0.7076372722849211,0.9375362461196901,2197.1315227342084
NSCLC_AD,Image6.png,472,83.6822033898305,54.0,74.61100151912883,0.6725681653390606,0.9409238624712282,1694.5197364878206
NSCLC_AD,Image7.png,249,136.52208835341366,123.0,81.13546925693099,0.7140628210279847,0.9354342574295748,893.9309626810749
NSCLC_AD,Image8.png,804,54.73134328358209,50.0,37.063948538710314,0.6648208099616526,0.943371861423766,2886.4276867292538
NSCLC_AD,Image9.png,234,142.26923076923077,128.0,90.57716261060385,0.6902930635247625,0.9477605611308675,840.0796998689619
NSCLC_SCC,Image1.png,724,74.35635359116021,70.0,35.529577997360924,0.6888156829631399,0.9393405192914908,2599.220951731318
NSCLC_SCC,Image10.png,327,55.94189602446483,53.0,26.3356304513007,0.7590513115017882,0.9273950841616592,1173.9575293040623
NSCLC_SCC,Image2.png,345,133.06376811594203,90.0,122.32203395790312,0.7174427108429929,0.9399934062458002,1238.5790446785977
NSCLC_SCC,Image3.png,541,68.84658040665434,62.0,34.722035016155495,0.7429164049383162,0.9319259622757861,1942.2355454235403
NSCLC_SCC,Image4.png,341,79.00586510263929,75.0,36.522197816430854,0.7226718628513409,0.9408575983322516,1224.218707928701
NSCLC_SCC,Image5.png,821,64.60048721071864,58.0,30.43915197514603,0.6525427851327843,0.9441857010064049,2947.4591179163153
NSCLC_SCC,Image6.png,381,67.51181102362204,59.0,33.03744780718665,0.6820117502199797,0.9377455585585153,1367.8220754276688
NSCLC_SCC,Image7.png,515,64.39223300970873,58.0,33.10280453117533,0.6695961172713635,0.9379455971048585,1848.8933565492111
NSCLC_SCC,Image8.png,278,70.67985611510791,65.5,37.65216166008452,0.7689284590371713,0.9222321179924488,998.0434041178266
NSCLC_SCC,Image9.png,1139,49.488147497805095,51.0,15.143811341315963,0.596204875017591,0.9480177972748677,4089.10588953311
