cohort,image,nucleus_count,mean_area_px,median_area_px,std_area_px,mean_eccentricity,mean_solidity,density_per_megapixel
BRC,Image1.png,503,126.27236580516899,88.0,103.38097319169044,0.5818579947108471,0.9513088760065794,1805.8123462995209
BRC,Image10.png,273,108.17582417582418,98.0,42.20947068525647,0.6485554437227639,0.9457544650358454,980.0929831804556
BRC,Image2.png,549,84.45901639344262,82.0,18.989131579885406,0.5270544308842803,0.9477570767145411,1970.9562189233338
BRC,Image3.png,616,84.34415584415585,81.0,17.96547188724963,0.5360298529013843,0.9484939421141637,2211.491859484105
BRC,Image4.png,528,86.20454545454545,82.0,21.628575597323692,0.5626906763028579,0.9487848810873691,1895.5644509863757
BRC,Image5.png,42,183.85714285714286,151.5,102.44477523421638,0.7417656915691698,0.9494124049035795,150.78353587391626
BRC,Image6.png,315,142.23809523809524,132.0,53.80131416513626,0.6884196904605405,0.9458802726485886,1130.8765190543718
BRC,Image7.png,204,255.82843137254903,244.0,107.49024112334614,0.6991860951653607,0.9506606200601345,732.3771742447361
BRC,Image8.png,126,221.32539682539684,207.5,101.78399392091728,0.6647800003603609,0.9495312604423732,452.35060762174874
BRC,Image9.png,303,88.13201320132013,80.0,38.007933837040945,0.5964341457785394,0.948110310394161,1087.7955088046815
CRC,Image1.png,300,127.76,110.5,60.03095645859171,0.6851595416658639,0.9447600203213555,1077.0252562422588
CRC,Image10.png,360,186.9361111111111,153.0,120.5295207102987,0.7038809204355437,0.9429074084330561,1292.4303074907107
CRC,Image2.png,366,152.3224043715847,134.0,70.24403123592525,0.7081866684836882,0.9436069295795402,1313.9708126155558
CRC,Image3.png,269,119.15613382899629,105.0,58.43502547405189,0.6919596225458512,0.9444521890250539,965.7326464305588
CRC,Image4.png,484,116.26446280991736,97.5,60.527504654931455,0.6570513271508382,0.9439014574583949,1737.6007467375111
CRC,Image5.png,520,80.93846153846154,77.5,19.59189543826491,0.5462250001247974,0.9486110114470391,1866.8437774865822
CRC,Image6.png,304,140.68421052631578,121.5,70.90569358148518,0.7143309367090427,0.9457215191467604,1091.3855929921558
CRC,Image7.png,432,87.30555555555556,80.0,29.21787832099119,0.61195932797916,0.9492181726296317,1550.9163689888528
CRC,Image8.png,286,186.23076923076923,149.0,113.69042694584519,0.7213677235246891,0.945270114680653,1026.7640776176202
CRC,Image9.png,324,131.60185185185185,116.0,65.11911305799192,0.6630522605799368,0.9429316578900088,1163.1872767416396
HCC,Image1.png,167,584.3652694610779,543.0,228.00544586629474,0.8076165105207431,0.9419310099232292,599.5440593081908
HCC,Image10.png,253,130.0671936758893,115.0,57.257819864214234,0.7946294192565472,0.9377805725771565,908.2912994309717
HCC,Image2.png,183,493.3879781420765,473.0,193.73799914960236,0.7060978300561935,0.955323566915281,656.9854063077779
HCC,Image3.png,186,484.18279569892474,456.0,185.63537773671507,0.7883562202666224,0.9471287152492575,667.7556588702006
HCC,Image4.png,158,534.2215189873418,500.0,223.8920010731248,0.7332445770137759,0.9515859526344228,567.233301620923
HCC,Image5.png,95,549.4,523.0,224.65020294718303,0.7656229958056053,0.9592006282018065,341.0579978100487
HCC,Image6.png,250,316.74,272.5,166.0667347785221,0.7137726916019532,0.9493087668862366,897.5210468685491
HCC,Image7.png,115,241.9217391304348,202.0,142.55904331805135,0.7749423934406774,0.9443419471713245,412.8596815595326
HCC,Image8.png,202,445.9009900990099,399.5,193.0046685399802,0.7354769229536989,0.9493743324108305,725.1970058697876
HCC,Image9.png,325,370.2153846153846,347.0,153.15384847197,0.715911075724917,0.9458233480972964,1166.777360929114
NSCLC_AD,Image1.png,198,115.6919191919192,97.5,63.50503865600383,0.7213416264654091,0.9462509613683491,710.8366691198909
NSCLC_AD,Image10.png,123,471.8292682926829,459.0,237.4612919185508,0.6965561063636369,0.950724896874624,441.58035505932617
NSCLC_AD,Image2.png,529,96.21550094517958,91.0,30.906879862883194,0.631033022494033,0.9447975053718815,1899.1545351738498
NSCLC_AD,Image3.png,342,192.8684210526316,153.0,114.54184198001006,0.6981696556217173,0.9466744849498974,1227.8087921161753
NSCLC_AD,Image4.png,216,186.93055555555554,153.0,121.80912433008345,0.6888053064314771,0.9515691063664674,775.4581844944264
NSCLC_AD,Image5.png,389,139.87146529562983,110.0,80.78747346943878,0.6609623710009297,0.9456391083994999,1396.5427489274625
NSCLC_AD,Image6.png,182,162.75824175824175,139.5,75.24273403777946,0.6611347581938667,0.9490406173685335,653.3953221203037
NSCLC_AD,Image7.png,165,194.7030303030303,187.0,71.49886409289898,0.6798441670731019,0.9500822375190834,592.3638909332424
NSCLC_AD,Image8.png,221,95.14932126696833,86.0,36.412920510202255,0.5797499255426299,0.9476773140371828,793.4086054317975
NSCLC_AD,Image9.png,183,448.2568306010929,419.0,201.24471861463292,0.6976665928009274,0.9562899886065422,656.9854063077779
NSCLC_SCC,Image1.png,487,96.71457905544148,93.0,27.00008846622918,0.6130126026507589,0.9469762394803503,1748.3709992999336
NSCLC_SCC,Image10.png,91,632.3626373626373,538.0,340.0448101202952,0.8205966073571503,0.9476024524050186,326.69766106015186
NSCLC_SCC,Image2.png,115,375.10434782608695,202.0,341.849913009459,0.6988609598918624,0.9526568605072867,412.8596815595326
NSCLC_SCC,Image3.png,443,104.25507900677201,95.0,41.21463327082246,0.667677490402101,0.9437759456400151,1590.407295051069
NSCLC_SCC,Image4.png,254,114.89763779527559,105.0,41.892877008225256,0.6862112262904664,0.9446285016800923,911.8813836184459
NSCLC_SCC,Image5.png,475,92.55368421052631,85.0,28.610759148582055,0.600301867690243,0.9483498229977745,1705.2899890502433
NSCLC_SCC,Image6.png,179,113.68715083798882,99.0,77.82585058485758,0.6519081725454228,0.9436457740346265,642.6250695578811
NSCLC_SCC,Image7.png,417,101.13908872901679,80.0,103.55431541879574,0.5844059454680292,0.9499914219958036,1497.0651061767398
NSCLC_SCC,Image8.png,83,323.8433734939759,257.0,211.6494875699432,0.770055965629868,0.9495674725113923,297.9769875603583
NSCLC_SCC,Image9.png,602,74.8421926910299,72.0,15.051628111714976,0.5095960530421154,0.9535205779223412,2161.2306808594662
